Country,Company Industry,Gender,Age Range,Job seniority,Company Size,Count
IND,IT,Male,55+,Owner,"10,001+ employees",330
IND,IT,Male,55+,Owner,"5001-10,000 employees",0
IND,IT,Male,55+,Owner,1001-5000 employees,320
IND,IT,Male,55+,Owner,501-1000 employees,0
IND,IT,Male,55+,Owner,201-500 employees,560
IND,IT,Male,55+,Owner,51-200 employees,1200
IND,IT,Male,55+,Owner,11-50 employees,2000
IND,IT,Male,55+,Owner,2-10 employees,1600
IND,IT,Male,55+,Owner,Myself Only,0
IND,IT,Male,55+,Partner,"10,001+ employees",0
IND,IT,Male,55+,Partner,"5001-10,000 employees",0
IND,IT,Male,55+,Partner,1001-5000 employees,0
IND,IT,Male,55+,Partner,501-1000 employees,0
IND,IT,Male,55+,Partner,201-500 employees,0
IND,IT,Male,55+,Partner,51-200 employees,410
IND,IT,Male,55+,Partner,11-50 employees,610
IND,IT,Male,55+,Partner,2-10 employees,510
IND,IT,Male,55+,Partner,Myself Only,0
IND,IT,Male,55+,CXO,"10,001+ employees",600
IND,IT,Male,55+,CXO,"5001-10,000 employees",0
IND,IT,Male,55+,CXO,1001-5000 employees,490
IND,IT,Male,55+,CXO,501-1000 employees,320
IND,IT,Male,55+,CXO,201-500 employees,660
IND,IT,Male,55+,CXO,51-200 employees,1200
IND,IT,Male,55+,CXO,11-50 employees,1600
IND,IT,Male,55+,CXO,2-10 employees,940
IND,IT,Male,55+,CXO,Myself Only,0
IND,IT,Male,55+,VP,"10,001+ employees",2300
IND,IT,Male,55+,VP,"5001-10,000 employees",400
IND,IT,Male,55+,VP,1001-5000 employees,1000
IND,IT,Male,55+,VP,501-1000 employees,510
IND,IT,Male,55+,VP,201-500 employees,880
IND,IT,Male,55+,VP,51-200 employees,1300
IND,IT,Male,55+,VP,11-50 employees,1300
IND,IT,Male,55+,VP,2-10 employees,630
IND,IT,Male,55+,VP,Myself Only,0
IND,IT,Male,55+,Director,"10,001+ employees",4100
IND,IT,Male,55+,Director,"5001-10,000 employees",650
IND,IT,Male,55+,Director,1001-5000 employees,1500
IND,IT,Male,55+,Director,501-1000 employees,720
IND,IT,Male,55+,Director,201-500 employees,1200
IND,IT,Male,55+,Director,51-200 employees,1900
IND,IT,Male,55+,Director,11-50 employees,2200
IND,IT,Male,55+,Director,2-10 employees,1200
IND,IT,Male,55+,Director,Myself Only,0
IND,IT,Male,55+,Manager,"10,001+ employees",4700
IND,IT,Male,55+,Manager,"5001-10,000 employees",550
IND,IT,Male,55+,Manager,1001-5000 employees,1200
IND,IT,Male,55+,Manager,501-1000 employees,490
IND,IT,Male,55+,Manager,201-500 employees,800
IND,IT,Male,55+,Manager,51-200 employees,840
IND,IT,Male,55+,Manager,11-50 employees,710
IND,IT,Male,55+,Manager,2-10 employees,410
IND,IT,Male,55+,Manager,Myself Only,0
IND,IT,Male,55+,Senior,"10,001+ employees",8300
IND,IT,Male,55+,Senior,"5001-10,000 employees",860
IND,IT,Male,55+,Senior,1001-5000 employees,1700
IND,IT,Male,55+,Senior,501-1000 employees,710
IND,IT,Male,55+,Senior,201-500 employees,1000
IND,IT,Male,55+,Senior,51-200 employees,1300
IND,IT,Male,55+,Senior,11-50 employees,1100
IND,IT,Male,55+,Senior,2-10 employees,650
IND,IT,Male,55+,Senior,Myself Only,0
IND,IT,Male,55+,Entry,"10,001+ employees",2900
IND,IT,Male,55+,Entry,"5001-10,000 employees",0
IND,IT,Male,55+,Entry,1001-5000 employees,570
IND,IT,Male,55+,Entry,501-1000 employees,0
IND,IT,Male,55+,Entry,201-500 employees,350
IND,IT,Male,55+,Entry,51-200 employees,530
IND,IT,Male,55+,Entry,11-50 employees,420
IND,IT,Male,55+,Entry,2-10 employees,350
IND,IT,Male,55+,Entry,Myself Only,0
IND,IT,Male,55+,Training,"10,001+ employees",0
IND,IT,Male,55+,Training,"5001-10,000 employees",0
IND,IT,Male,55+,Training,1001-5000 employees,0
IND,IT,Male,55+,Training,501-1000 employees,0
IND,IT,Male,55+,Training,201-500 employees,0
IND,IT,Male,55+,Training,51-200 employees,0
IND,IT,Male,55+,Training,11-50 employees,0
IND,IT,Male,55+,Training,2-10 employees,0
IND,IT,Male,55+,Training,Myself Only,0
IND,IT,Male,55+,Unpaid,"10,001+ employees",0
IND,IT,Male,55+,Unpaid,"5001-10,000 employees",0
IND,IT,Male,55+,Unpaid,1001-5000 employees,0
IND,IT,Male,55+,Unpaid,501-1000 employees,0
IND,IT,Male,55+,Unpaid,201-500 employees,0
IND,IT,Male,55+,Unpaid,51-200 employees,0
IND,IT,Male,55+,Unpaid,11-50 employees,0
IND,IT,Male,55+,Unpaid,2-10 employees,0
IND,IT,Male,55+,Unpaid,Myself Only,0
IND,IT,Male,35 to 54,Owner,"10,001+ employees",2900
IND,IT,Male,35 to 54,Owner,"5001-10,000 employees",560
IND,IT,Male,35 to 54,Owner,1001-5000 employees,1700
IND,IT,Male,35 to 54,Owner,501-1000 employees,1100
IND,IT,Male,35 to 54,Owner,201-500 employees,2700
IND,IT,Male,35 to 54,Owner,51-200 employees,6900
IND,IT,Male,35 to 54,Owner,11-50 employees,15000
IND,IT,Male,35 to 54,Owner,2-10 employees,13000
IND,IT,Male,35 to 54,Owner,Myself Only,820
IND,IT,Male,35 to 54,Partner,"10,001+ employees",830
IND,IT,Male,35 to 54,Partner,"5001-10,000 employees",0
IND,IT,Male,35 to 54,Partner,1001-5000 employees,430
IND,IT,Male,35 to 54,Partner,501-1000 employees,320
IND,IT,Male,35 to 54,Partner,201-500 employees,680
IND,IT,Male,35 to 54,Partner,51-200 employees,1300
IND,IT,Male,35 to 54,Partner,11-50 employees,2300
IND,IT,Male,35 to 54,Partner,2-10 employees,1800
IND,IT,Male,35 to 54,Partner,Myself Only,0
IND,IT,Male,35 to 54,CXO,"10,001+ employees",2000
IND,IT,Male,35 to 54,CXO,"5001-10,000 employees",440
IND,IT,Male,35 to 54,CXO,1001-5000 employees,1300
IND,IT,Male,35 to 54,CXO,501-1000 employees,980
IND,IT,Male,35 to 54,CXO,201-500 employees,2000
IND,IT,Male,35 to 54,CXO,51-200 employees,4800
IND,IT,Male,35 to 54,CXO,11-50 employees,8900
IND,IT,Male,35 to 54,CXO,2-10 employees,5400
IND,IT,Male,35 to 54,CXO,Myself Only,0
IND,IT,Male,35 to 54,VP,"10,001+ employees",11000
IND,IT,Male,35 to 54,VP,"5001-10,000 employees",1800
IND,IT,Male,35 to 54,VP,1001-5000 employees,4900
IND,IT,Male,35 to 54,VP,501-1000 employees,2300
IND,IT,Male,35 to 54,VP,201-500 employees,3700
IND,IT,Male,35 to 54,VP,51-200 employees,5600
IND,IT,Male,35 to 54,VP,11-50 employees,6300
IND,IT,Male,35 to 54,VP,2-10 employees,3200
IND,IT,Male,35 to 54,VP,Myself Only,0
IND,IT,Male,35 to 54,Director,"10,001+ employees",25000
IND,IT,Male,35 to 54,Director,"5001-10,000 employees",3800
IND,IT,Male,35 to 54,Director,1001-5000 employees,8800
IND,IT,Male,35 to 54,Director,501-1000 employees,4100
IND,IT,Male,35 to 54,Director,201-500 employees,6300
IND,IT,Male,35 to 54,Director,51-200 employees,10000
IND,IT,Male,35 to 54,Director,11-50 employees,12000
IND,IT,Male,35 to 54,Director,2-10 employees,6500
IND,IT,Male,35 to 54,Director,Myself Only,420
IND,IT,Male,35 to 54,Manager,"10,001+ employees",79000
IND,IT,Male,35 to 54,Manager,"5001-10,000 employees",9400
IND,IT,Male,35 to 54,Manager,1001-5000 employees,20000
IND,IT,Male,35 to 54,Manager,501-1000 employees,7300
IND,IT,Male,35 to 54,Manager,201-500 employees,9800
IND,IT,Male,35 to 54,Manager,51-200 employees,11000
IND,IT,Male,35 to 54,Manager,11-50 employees,8200
IND,IT,Male,35 to 54,Manager,2-10 employees,3700
IND,IT,Male,35 to 54,Manager,Myself Only,510
IND,IT,Male,35 to 54,Senior,"10,001+ employees",320000
IND,IT,Male,35 to 54,Senior,"5001-10,000 employees",35000
IND,IT,Male,35 to 54,Senior,1001-5000 employees,67000
IND,IT,Male,35 to 54,Senior,501-1000 employees,27000
IND,IT,Male,35 to 54,Senior,201-500 employees,37000
IND,IT,Male,35 to 54,Senior,51-200 employees,42000
IND,IT,Male,35 to 54,Senior,11-50 employees,28000
IND,IT,Male,35 to 54,Senior,2-10 employees,10000
IND,IT,Male,35 to 54,Senior,Myself Only,1900
IND,IT,Male,35 to 54,Entry,"10,001+ employees",160000
IND,IT,Male,35 to 54,Entry,"5001-10,000 employees",14000
IND,IT,Male,35 to 54,Entry,1001-5000 employees,29000
IND,IT,Male,35 to 54,Entry,501-1000 employees,12000
IND,IT,Male,35 to 54,Entry,201-500 employees,19000
IND,IT,Male,35 to 54,Entry,51-200 employees,25000
IND,IT,Male,35 to 54,Entry,11-50 employees,21000
IND,IT,Male,35 to 54,Entry,2-10 employees,8900
IND,IT,Male,35 to 54,Entry,Myself Only,1800
IND,IT,Male,35 to 54,Training,"10,001+ employees",3700
IND,IT,Male,35 to 54,Training,"5001-10,000 employees",0
IND,IT,Male,35 to 54,Training,1001-5000 employees,850
IND,IT,Male,35 to 54,Training,501-1000 employees,360
IND,IT,Male,35 to 54,Training,201-500 employees,510
IND,IT,Male,35 to 54,Training,51-200 employees,700
IND,IT,Male,35 to 54,Training,11-50 employees,740
IND,IT,Male,35 to 54,Training,2-10 employees,410
IND,IT,Male,35 to 54,Training,Myself Only,0
IND,IT,Male,35 to 54,Unpaid,"10,001+ employees",0
IND,IT,Male,35 to 54,Unpaid,"5001-10,000 employees",0
IND,IT,Male,35 to 54,Unpaid,1001-5000 employees,0
IND,IT,Male,35 to 54,Unpaid,501-1000 employees,0
IND,IT,Male,35 to 54,Unpaid,201-500 employees,0
IND,IT,Male,35 to 54,Unpaid,51-200 employees,0
IND,IT,Male,35 to 54,Unpaid,11-50 employees,0
IND,IT,Male,35 to 54,Unpaid,2-10 employees,0
IND,IT,Male,35 to 54,Unpaid,Myself Only,0
IND,IT,Male,25 to 34,Owner,"10,001+ employees",5200
IND,IT,Male,25 to 34,Owner,"5001-10,000 employees",750
IND,IT,Male,25 to 34,Owner,1001-5000 employees,2100
IND,IT,Male,25 to 34,Owner,501-1000 employees,1400
IND,IT,Male,25 to 34,Owner,201-500 employees,3300
IND,IT,Male,25 to 34,Owner,51-200 employees,6900
IND,IT,Male,25 to 34,Owner,11-50 employees,16000
IND,IT,Male,25 to 34,Owner,2-10 employees,17000
IND,IT,Male,25 to 34,Owner,Myself Only,1500
IND,IT,Male,25 to 34,Partner,"10,001+ employees",570
IND,IT,Male,25 to 34,Partner,"5001-10,000 employees",0
IND,IT,Male,25 to 34,Partner,1001-5000 employees,310
IND,IT,Male,25 to 34,Partner,501-1000 employees,0
IND,IT,Male,25 to 34,Partner,201-500 employees,410
IND,IT,Male,25 to 34,Partner,51-200 employees,760
IND,IT,Male,25 to 34,Partner,11-50 employees,1500
IND,IT,Male,25 to 34,Partner,2-10 employees,1300
IND,IT,Male,25 to 34,Partner,Myself Only,0
IND,IT,Male,25 to 34,CXO,"10,001+ employees",3400
IND,IT,Male,25 to 34,CXO,"5001-10,000 employees",360
IND,IT,Male,25 to 34,CXO,1001-5000 employees,960
IND,IT,Male,25 to 34,CXO,501-1000 employees,690
IND,IT,Male,25 to 34,CXO,201-500 employees,1400
IND,IT,Male,25 to 34,CXO,51-200 employees,3400
IND,IT,Male,25 to 34,CXO,11-50 employees,7600
IND,IT,Male,25 to 34,CXO,2-10 employees,6000
IND,IT,Male,25 to 34,CXO,Myself Only,390
IND,IT,Male,25 to 34,VP,"10,001+ employees",25000
IND,IT,Male,25 to 34,VP,"5001-10,000 employees",3300
IND,IT,Male,25 to 34,VP,1001-5000 employees,8000
IND,IT,Male,25 to 34,VP,501-1000 employees,3000
IND,IT,Male,25 to 34,VP,201-500 employees,4500
IND,IT,Male,25 to 34,VP,51-200 employees,7200
IND,IT,Male,25 to 34,VP,11-50 employees,9600
IND,IT,Male,25 to 34,VP,2-10 employees,5800
IND,IT,Male,25 to 34,VP,Myself Only,720
IND,IT,Male,25 to 34,Director,"10,001+ employees",9600
IND,IT,Male,25 to 34,Director,"5001-10,000 employees",1300
IND,IT,Male,25 to 34,Director,1001-5000 employees,4300
IND,IT,Male,25 to 34,Director,501-1000 employees,2100
IND,IT,Male,25 to 34,Director,201-500 employees,3800
IND,IT,Male,25 to 34,Director,51-200 employees,7000
IND,IT,Male,25 to 34,Director,11-50 employees,11000
IND,IT,Male,25 to 34,Director,2-10 employees,6700
IND,IT,Male,25 to 34,Director,Myself Only,660
IND,IT,Male,25 to 34,Manager,"10,001+ employees",64000
IND,IT,Male,25 to 34,Manager,"5001-10,000 employees",7600
IND,IT,Male,25 to 34,Manager,1001-5000 employees,20000
IND,IT,Male,25 to 34,Manager,501-1000 employees,8100
IND,IT,Male,25 to 34,Manager,201-500 employees,12000
IND,IT,Male,25 to 34,Manager,51-200 employees,16000
IND,IT,Male,25 to 34,Manager,11-50 employees,17000
IND,IT,Male,25 to 34,Manager,2-10 employees,10000
IND,IT,Male,25 to 34,Manager,Myself Only,1600
IND,IT,Male,25 to 34,Senior,"10,001+ employees",540000
IND,IT,Male,25 to 34,Senior,"5001-10,000 employees",56000
IND,IT,Male,25 to 34,Senior,1001-5000 employees,130000
IND,IT,Male,25 to 34,Senior,501-1000 employees,59000
IND,IT,Male,25 to 34,Senior,201-500 employees,85000
IND,IT,Male,25 to 34,Senior,51-200 employees,120000
IND,IT,Male,25 to 34,Senior,11-50 employees,97000
IND,IT,Male,25 to 34,Senior,2-10 employees,41000
IND,IT,Male,25 to 34,Senior,Myself Only,7700
IND,IT,Male,25 to 34,Entry,"10,001+ employees",620000
IND,IT,Male,25 to 34,Entry,"5001-10,000 employees",53000
IND,IT,Male,25 to 34,Entry,1001-5000 employees,130000
IND,IT,Male,25 to 34,Entry,501-1000 employees,65000
IND,IT,Male,25 to 34,Entry,201-500 employees,99000
IND,IT,Male,25 to 34,Entry,51-200 employees,160000
IND,IT,Male,25 to 34,Entry,11-50 employees,150000
IND,IT,Male,25 to 34,Entry,2-10 employees,74000
IND,IT,Male,25 to 34,Entry,Myself Only,16000
IND,IT,Male,25 to 34,Training,"10,001+ employees",29000
IND,IT,Male,25 to 34,Training,"5001-10,000 employees",1800
IND,IT,Male,25 to 34,Training,1001-5000 employees,5100
IND,IT,Male,25 to 34,Training,501-1000 employees,2600
IND,IT,Male,25 to 34,Training,201-500 employees,4100
IND,IT,Male,25 to 34,Training,51-200 employees,6500
IND,IT,Male,25 to 34,Training,11-50 employees,7200
IND,IT,Male,25 to 34,Training,2-10 employees,4500
IND,IT,Male,25 to 34,Training,Myself Only,2900
IND,IT,Male,25 to 34,Unpaid,"10,001+ employees",1900
IND,IT,Male,25 to 34,Unpaid,"5001-10,000 employees",0
IND,IT,Male,25 to 34,Unpaid,1001-5000 employees,440
IND,IT,Male,25 to 34,Unpaid,501-1000 employees,0
IND,IT,Male,25 to 34,Unpaid,201-500 employees,0
IND,IT,Male,25 to 34,Unpaid,51-200 employees,550
IND,IT,Male,25 to 34,Unpaid,11-50 employees,470
IND,IT,Male,25 to 34,Unpaid,2-10 employees,1400
IND,IT,Male,25 to 34,Unpaid,Myself Only,1500
IND,IT,Male,18 to 24,Owner,"10,001+ employees",2200
IND,IT,Male,18 to 24,Owner,"5001-10,000 employees",0
IND,IT,Male,18 to 24,Owner,1001-5000 employees,740
IND,IT,Male,18 to 24,Owner,501-1000 employees,410
IND,IT,Male,18 to 24,Owner,201-500 employees,840
IND,IT,Male,18 to 24,Owner,51-200 employees,1300
IND,IT,Male,18 to 24,Owner,11-50 employees,2700
IND,IT,Male,18 to 24,Owner,2-10 employees,4000
IND,IT,Male,18 to 24,Owner,Myself Only,630
IND,IT,Male,18 to 24,Partner,"10,001+ employees",0
IND,IT,Male,18 to 24,Partner,"5001-10,000 employees",0
IND,IT,Male,18 to 24,Partner,1001-5000 employees,0
IND,IT,Male,18 to 24,Partner,501-1000 employees,0
IND,IT,Male,18 to 24,Partner,201-500 employees,0
IND,IT,Male,18 to 24,Partner,51-200 employees,0
IND,IT,Male,18 to 24,Partner,11-50 employees,0
IND,IT,Male,18 to 24,Partner,2-10 employees,0
IND,IT,Male,18 to 24,Partner,Myself Only,0
IND,IT,Male,18 to 24,CXO,"10,001+ employees",1400
IND,IT,Male,18 to 24,CXO,"5001-10,000 employees",0
IND,IT,Male,18 to 24,CXO,1001-5000 employees,340
IND,IT,Male,18 to 24,CXO,501-1000 employees,0
IND,IT,Male,18 to 24,CXO,201-500 employees,390
IND,IT,Male,18 to 24,CXO,51-200 employees,700
IND,IT,Male,18 to 24,CXO,11-50 employees,1400
IND,IT,Male,18 to 24,CXO,2-10 employees,1500
IND,IT,Male,18 to 24,CXO,Myself Only,0
IND,IT,Male,18 to 24,VP,"10,001+ employees",3600
IND,IT,Male,18 to 24,VP,"5001-10,000 employees",320
IND,IT,Male,18 to 24,VP,1001-5000 employees,1300
IND,IT,Male,18 to 24,VP,501-1000 employees,380
IND,IT,Male,18 to 24,VP,201-500 employees,650
IND,IT,Male,18 to 24,VP,51-200 employees,950
IND,IT,Male,18 to 24,VP,11-50 employees,1300
IND,IT,Male,18 to 24,VP,2-10 employees,750
IND,IT,Male,18 to 24,VP,Myself Only,0
IND,IT,Male,18 to 24,Director,"10,001+ employees",3000
IND,IT,Male,18 to 24,Director,"5001-10,000 employees",0
IND,IT,Male,18 to 24,Director,1001-5000 employees,900
IND,IT,Male,18 to 24,Director,501-1000 employees,460
IND,IT,Male,18 to 24,Director,201-500 employees,760
IND,IT,Male,18 to 24,Director,51-200 employees,1500
IND,IT,Male,18 to 24,Director,11-50 employees,2200
IND,IT,Male,18 to 24,Director,2-10 employees,1500
IND,IT,Male,18 to 24,Director,Myself Only,0
IND,IT,Male,18 to 24,Manager,"10,001+ employees",14000
IND,IT,Male,18 to 24,Manager,"5001-10,000 employees",1200
IND,IT,Male,18 to 24,Manager,1001-5000 employees,3500
IND,IT,Male,18 to 24,Manager,501-1000 employees,1300
IND,IT,Male,18 to 24,Manager,201-500 employees,1900
IND,IT,Male,18 to 24,Manager,51-200 employees,2800
IND,IT,Male,18 to 24,Manager,11-50 employees,3400
IND,IT,Male,18 to 24,Manager,2-10 employees,2600
IND,IT,Male,18 to 24,Manager,Myself Only,360
IND,IT,Male,18 to 24,Senior,"10,001+ employees",79000
IND,IT,Male,18 to 24,Senior,"5001-10,000 employees",6300
IND,IT,Male,18 to 24,Senior,1001-5000 employees,19000
IND,IT,Male,18 to 24,Senior,501-1000 employees,9200
IND,IT,Male,18 to 24,Senior,201-500 employees,12000
IND,IT,Male,18 to 24,Senior,51-200 employees,19000
IND,IT,Male,18 to 24,Senior,11-50 employees,19000
IND,IT,Male,18 to 24,Senior,2-10 employees,9900
IND,IT,Male,18 to 24,Senior,Myself Only,1600
IND,IT,Male,18 to 24,Entry,"10,001+ employees",180000
IND,IT,Male,18 to 24,Entry,"5001-10,000 employees",13000
IND,IT,Male,18 to 24,Entry,1001-5000 employees,40000
IND,IT,Male,18 to 24,Entry,501-1000 employees,18000
IND,IT,Male,18 to 24,Entry,201-500 employees,26000
IND,IT,Male,18 to 24,Entry,51-200 employees,41000
IND,IT,Male,18 to 24,Entry,11-50 employees,45000
IND,IT,Male,18 to 24,Entry,2-10 employees,28000
IND,IT,Male,18 to 24,Entry,Myself Only,6300
IND,IT,Male,18 to 24,Training,"10,001+ employees",22000
IND,IT,Male,18 to 24,Training,"5001-10,000 employees",1300
IND,IT,Male,18 to 24,Training,1001-5000 employees,4200
IND,IT,Male,18 to 24,Training,501-1000 employees,2300
IND,IT,Male,18 to 24,Training,201-500 employees,3400
IND,IT,Male,18 to 24,Training,51-200 employees,5700
IND,IT,Male,18 to 24,Training,11-50 employees,5800
IND,IT,Male,18 to 24,Training,2-10 employees,3600
IND,IT,Male,18 to 24,Training,Myself Only,4000
IND,IT,Male,18 to 24,Unpaid,"10,001+ employees",2400
IND,IT,Male,18 to 24,Unpaid,"5001-10,000 employees",0
IND,IT,Male,18 to 24,Unpaid,1001-5000 employees,370
IND,IT,Male,18 to 24,Unpaid,501-1000 employees,0
IND,IT,Male,18 to 24,Unpaid,201-500 employees,0
IND,IT,Male,18 to 24,Unpaid,51-200 employees,0
IND,IT,Male,18 to 24,Unpaid,11-50 employees,0
IND,IT,Male,18 to 24,Unpaid,2-10 employees,1300
IND,IT,Male,18 to 24,Unpaid,Myself Only,1400
IND,IT,Female,55+,Owner,"10,001+ employees",0
IND,IT,Female,55+,Owner,"5001-10,000 employees",0
IND,IT,Female,55+,Owner,1001-5000 employees,0
